FP1
FP2
F4
F3
C3
C4
P4
P3
O2
O1
F8
F7
T8
T7
P8
P7
PZ
FZ
F9
F10
PO9
PO10
TP7
TP9
TP10
TP8
OZ
IZ
PO4
PO3
CP5
CP6
CP1
CP2
FT9
FT10
FC2
FC1
AF3
AF4
FC6
FC5
CPZ
P1
POZ
P2
P6
C6
P5
C1
C2
C5
F2
F6
F1
AF8
F5
AF7
FPZ
FCZ
CZ
